Neighborhood,Population,Area_km2,Green_Area_km2,Lat,Lon,Green_Cover_%,People_per_green_km2,Recommendation
Central Park,120000,3.2,1.2,40.78,-73.97,37.49999999999999,100000.0,Add Green Space
Midtown,85000,2.5,0.6,40.75,-73.99,24.0,141666.6666666667,Add Green Space
Riverside,70000,3.5,2.0,40.79,-73.95,57.14285714285714,35000.0,Sufficient
North Hill,65000,2.8,0.7,40.8,-73.93,25.0,92857.14285714287,Add Green Space
Southgate,90000,3.0,0.5,40.74,-73.98,16.666666666666664,180000.0,Add Green Space
Old Town,50000,1.9,0.4,40.73,-74.0,21.05263157894737,125000.0,Add Green Space
Lakeside,40000,2.1,0.8,40.81,-73.91,38.095238095238095,50000.0,Sufficient
West End,60000,2.4,1.0,40.76,-73.96,41.66666666666667,60000.0,Add Green Space
East Village,75000,2.9,0.9,40.72,-73.94,31.03448275862069,83333.33333333333,Add Green Space
Harbor Bay,48000,2.6,0.3,40.77,-73.9,11.538461538461538,160000.0,Add Green Space
Maple Heights,55000,2.0,0.6,40.79,-73.92,30.0,91666.66666666667,Add Green Space
Hillview,68000,3.1,0.5,40.71,-74.01,16.129032258064516,136000.0,Add Green Space
